,Base_Qwen,,,,,,,RICE without retain CE,,,,,,,RICE without NPO,,,,,
,language,Model Utility,Prob. Retain,Truth Ratio Retain,Prob. Forget,Truth Ratio Forget,,language,Model Utility,Prob. Retain,Truth Ratio Retain,Prob. Forget,Truth Ratio Forget,,language,Model Utility,Prob. Retain,Truth Ratio Retain,Prob. Forget,Truth Ratio Forget
,iw,0.328787047,0.987793233,0.495376267,0.941741274,0.5500924,,iw,0.317014552,0.930838464,0.463500916,0.0116766277,0.655603808,,,,,,,
,ja,0.387528435,0.993651491,0.562669628,0.958236249,0.481794272,,ja,0.378397465,0.946748978,0.545916116,0.0105397855,0.643893916,,,,,,,
,ko,0.359672415,0.991322763,0.55095155,0.821139547,0.451363256,,ko,0.341452462,0.943017734,0.535294675,0.0191321252,0.705168941,,,,,,,
,ru,0.357246874,0.994121878,0.507938138,0.91655279,0.485899875,,ru,0.344543954,0.92918614,0.492580518,0.00613699386,0.682604899,,,,,,,
,total,0.3596957135,0.992222877,0.5323143893,0.8480175624,0.4937858316,,total,0.350136836,0.927588449,0.510920426,0.012064838,0.679174229,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,RMU(WMDP),,,,,,,RICE with lower scale,,,,,,,,,,,,
,language,Model Utility,Prob. Retain,Truth Ratio Retain,Prob. Forget,Truth Ratio Forget,,language,Model Utility,Prob. Retain,Truth Ratio Retain,Prob. Forget,Truth Ratio Forget,,,,,,,
,en,0.3680347055,0.7057866195,0.5671051594,3.97E-06,0.8148942195,,en,0.37473864,0.849577034,0.592590739,0.00000469,0.827564906,,,,,,,
,ar,0.303224963,0.3092478658,0.4629776742,4.02E-06,0.7846386013,,ar,0.351251182,0.918288856,0.523824968,0.00134621073,0.773142241,,,,,,,
,fa,0.301539989,0.4308158766,0.4433358123,0.03293607112,0.6989897867,,fa,0.333746274,0.931999881,0.497542406,0.0000481,0.774152993,,,,,,,
,fr,0.3290389726,0.5255749624,0.4864616232,3.36E-06,0.7978077775,,fr,0.370243909,0.903721998,0.546839119,0.0000232,0.796706979,,,,,,,
,hi,0.2295475716,0.1199845679,0.3693751503,3.26E-06,0.7867373266,,hi,0.314896694,0.886753615,0.426879793,0.0000846,0.793151534,,,,,,,
,id,0.3310065347,0.5342793025,0.5544320623,4.41E-06,0.7891185611,,id,0.348093929,0.926780893,0.594045239,0.0000171,0.796361516,,,,,,,
,iw,0.232583691,0.1341305381,0.3821683249,5.87E-06,0.8252498461,,iw,0.318330212,0.887165218,0.476040038,0.0000734,0.84371951,,,,,,,
,ja,0.3492193195,0.6551925977,0.529042979,1.30E-05,0.8160141801,,ja,0.370536856,0.938650549,0.559398745,0.00015835726,0.690962318,,,,,,,
,ko,0.3390311625,0.6162410051,0.520602193,1.26E-05,0.8247435321,,ko,0.345498235,0.932032153,0.559089679,0.0005451034,0.78682313,,,,,,,
,ru,0.3210355676,0.4112290968,0.4637629946,3.78E-06,0.8017774043,,ru,0.34448609,0.915152302,0.497227099,0.0000478,0.772715699,,,,,,,
,total,0.3206647708,0.4442482432,0.4779263973,0.003299031996,0.7939971235,,total,0.348092785,0.90901225,0.527347783,0.000234855976,0.785530083,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,RICE with higher RMU weight,,,,,,,,,,,,
,,,,,,,,language,Model Utility,Prob. Retain,Truth Ratio Retain,Prob. Forget,Truth Ratio Forget,,,,,,,
,,,,,,,,en,0.361651042,0.841741349,0.581322428,0.000000448,0.847458374,,,,,,,
,,,,,,,,ar,0.328188832,0.844448686,0.51062,0.000000928,0.837745266,,,,,,,
,,,,,,,,fa,0.315126181,0.880536014,0.475256658,0.000000981,0.867870291,,,,,,,
,,,,,,,,fr,0.331533324,0.853441109,0.532926942,0.00000052,0.874823886,,,,,,,
,,,,,,,,hi,0.301392097,0.826062267,0.410709054,0.000000793,0.89566505,,,,,,,
,,,,,,,,id,0.340255361,0.867908018,0.577915972,0.00000076,0.846042058,,,,,,,
,,,,,,,,iw,0.310444697,0.817704465,0.463988414,0.00000173,0.870190117,,,,,,,
,,,,,,,,ja,0.348078298,0.891398409,0.537082518,0.000000726,0.833752481,,,,,,,
,,,,,,,,ko,0.324602813,0.891426667,0.537005118,0.000000815,0.84567557,,,,,,,
,,,,,,,,ru,0.336696308,0.869409201,0.485486363,0.00000101,0.869751074,,,,,,,
,,,,,,,,total,0.330643711,0.858407619,0.511231347,0.000000872,0.858897417,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,RICE with all layer,,,,,,,,,,,,
,,,,,,,,language,Model Utility,Prob. Retain,Truth Ratio Retain,Prob. Forget,Truth Ratio Forget,,,,,,,
,,,,,,,,en,0.3663804389,0.8570511394,0.6008941755,0.00001774616721,0.8040566529,,,,,,,
,,,,,,,,ar,0.3367478074,0.9008466004,0.5218851932,0.002919291653,0.7659196811,,,,,,,
,,,,,,,,fa,0.3266182064,0.9213349025,0.4909835611,0.0002147102239,0.7801892424,,,,,,,
,,,,,,,,fr,0.3506394835,0.8986452371,0.5434200617,0.00003601350854,0.8042398996,,,,,,,
,,,,,,,,hi,0.3198060418,0.893096399,0.420587455,0.0001541289513,0.7210446195,,,,,,,
,,,,,,,,id,0.3481594899,0.9129050083,0.5812061102,0.00004183985125,0.8040972708,,,,,,,
,,,,,,,,iw,0.3042806124,0.8931466107,0.4785020804,0.0001337073197,0.7989457554,,,,,,,
,,,,,,,,ja,0.3738512441,0.9217834694,0.5499528419,0.004725008614,0.7244897431,,,,,,,
,,,,,,,,ko,0.3257077928,0.9147776577,0.5479551013,0.002490131793,0.7984449995,,,,,,,
,,,,,,,,ru,0.3374525985,0.9086170509,0.4937666206,0.0001205331753,0.7628481023,,,,,,,
,,,,,,,,total,0.339826021,0.9022204075,0.5229153201,0.001085311126,0.7764275967,,,,,,,
